step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
199,training,0.0041206651367247105,0.1606571078300476,0.1139648693115491,7.674970014444338,0.7904890203473728,-0.11716790283217518,nav
200,training,0.0008483510464429855,0.19176723062992096,0.1139648693115491,7.714570761755106,0.7856076865878648,-0.13157811117338963,nav
201,training,0.0013705550227314234,0.14196672290563583,0.1139648693115491,7.754309514961021,0.779994071232405,-0.14885984122215068,nav
202,training,0.005713109392672777,0.06313696503639221,0.1139648693115491,7.79391940918742,0.7737935370581489,-0.16092423744450485,nav
203,training,0.002648625522851944,0.03886370360851288,0.09218087656751464,7.833263245194021,0.7671848464533767,-0.17119212275826817,nav
204,training,0.0017470390303060412,0.08093706704676151,0.09218087656751464,7.872658621675681,0.7602256937541831,-0.17382920529089776,nav
205,training,0.0029291489627212286,0.040296632796525955,0.09218087656751464,7.912006145276629,0.7534797316972268,-0.1665768726398408,nav
206,training,0.00223218509927392,0.044126380234956734,0.09218087656751464,7.951317958348307,0.7469840830463347,-0.16007065535450693,nav
207,training,0.0020839127246290445,0.06281344965100288,0.09218087656751464,7.990775239271364,0.7408031643764447,-0.15047491434192217,nav
208,training,0.001676403684541583,0.04514510557055473,0.09218087656751464,8.030179175325609,0.7350162681052214,-0.1427299435277207,nav
209,training,0.003023880533874035,0.07658671215176582,0.06640923280998895,8.069788213388392,0.7294590803270823,-0.13596033148368494,nav
210,training,0.001451344694942236,0.09362276643514633,0.06640923280998895,8.10935370167533,0.7242309344490784,-0.1269209682410397,nav
211,training,0.0012091986136510968,0.06248420383781195,0.06640923280998895,8.148872094710406,0.7192785232521448,-0.12316531399665194,nav
212,training,0.0017387402476742864,0.08517520362511277,0.06640923280998895,8.188627439209485,0.7143704028230397,-0.12351939446786682,nav
213,training,0.004583793226629496,0.11562024056911469,0.06640923280998895,8.228162825792182,0.7094604346461472,-0.12455342751288422,nav
214,training,0.0038874505553394556,0.07108160853385925,0.06640923280998895,8.267867617939189,0.7044703934081166,-0.12555446701328438,nav
215,training,0.0034447882790118456,0.016239255666732788,0.03521896968625704,8.307548781587029,0.6995030584123522,-0.12256893441570364,dl
216,training,0.002703039674088359,0.02350302040576934,0.03521896968625704,8.346967774989155,0.6947637497476256,-0.1149935923166106,dl
217,training,0.0004271032230462879,0.05683153495192527,0.03521896968625704,8.386736509327893,0.6904651594675709,-0.09953040116719933,dl
218,training,0.005339985713362694,0.056860759854316704,0.03521896968625704,8.426307133075655,0.6869005734377288,-0.08015919660505887,dl
219,training,0.001969777513295412,0.03318169713020325,0.03521896968625704,8.466036954759215,0.6840815370207035,-0.061853144033915695,dl
220,training,0.000985347549431026,0.05680699273943901,0.03521896968625704,8.506020975619062,0.6818943035470086,-0.047422705526606684,dl
221,training,0.0005099390400573611,0.07449737191200256,0.016226299990235202,8.545653551444087,0.6803037734009549,-0.032785057159723595,dl
222,training,0.0007988678989931941,0.055633033625781536,0.016226299990235202,8.585629604649688,0.679298972297279,-0.017112544316506252,dl
223,training,0.0007961427327245474,0.04221788328140974,0.016226299990235202,8.625537988282126,0.6788823747225583,-0.004872545114282,dl
224,training,0.003105209209024906,0.011212860234081745,0.016226299990235202,8.665403781640489,0.6788500357954196,0.0025017391861766516,dl
225,training,0.003156638704240322,0.009993191808462143,0.016226299990235202,8.705561871879306,0.6789880093239642,0.0036549609595066214,dl
226,training,0.002421607030555606,0.010171473957598211,0.016226299990235202,8.7453984514006,0.6790916316648312,-0.0003094823618100567,dl
